,,,
,Проверка,Результат,Комментарий
,Длинный текст скрывается под многоточие.,Failed,"Дефект не оформлен, уточняется "
,Корректный выбор даты.,Passed,
,Наличие плейсхолдеров в полях.,Failed,"Дефект не оформлен, уточняется "
,Логотип ведет на главную страницу сайта.,Failed,"Дефект не оформлен, уточняется "
,Переходы и навигация между страницами и разделами меню.,Passed,
,,,
,Кросс-платформенное тестирование,,
,"Тестирование в различных браузерах (Firefox, Chrome, Safari — это минимальный набор): анимация, верстка, шрифты, уведомления и т.д.",Passed,
,"Тестирование в различных версиях ОС: Windows, Mac, Linux.",Passed,
,Java Script код работает в разных браузерах.,Passed,
,Просмотр на мобильных устройствах.,Passed,
